ts,co2,humidity,pm10,pm25,temperature,voc
23/03/2025 18:00,1404.53,60.91,0.25,0.18,16.45,103
23/03/2025 18:01,1416.42,60.95,0.48,0.34,16.42,101
23/03/2025 18:02,1437.1,60.84,0.3,0.22,16.41,99
23/03/2025 18:03,1458.55,60.91,0.38,0.28,16.37,96
23/03/2025 18:04,1464.85,60.75,0.26,0.18,16.3,94
23/03/2025 18:05,1452.55,60.92,1.1,0.78,16.25,92
23/03/2025 18:06,1448.79,60.76,0.61,0.43,16.25,89
23/03/2025 18:07,1452.82,60.67,0.28,0.2,16.25,87
23/03/2025 18:08,1455.59,60.72,0.83,0.6,16.23,84
23/03/2025 18:09,1448.22,60.77,0.35,0.25,16.2,82
23/03/2025 18:10,1438.27,60.69,0.86,0.62,16.17,79
23/03/2025 18:11,1428.31,60.67,0.64,0.46,16.14,77
23/03/2025 18:12,1424.56,60.72,0.43,0.31,16.17,75
23/03/2025 18:13,1422.1,60.69,0.64,0.47,16.14,73
23/03/2025 18:14,1416.75,60.68,0.44,0.33,16.14,71
23/03/2025 18:15,1413.9,60.69,0.66,0.49,16.13,69
23/03/2025 18:16,1409.95,60.68,0.99,0.74,16.11,67
23/03/2025 18:17,1401.09,60.72,0.8,0.6,16.1,65
23/03/2025 18:18,1390.1,60.7,0.72,0.54,16.1,64
23/03/2025 18:19,1385.88,60.64,0.69,0.52,16.07,62
23/03/2025 18:20,1380.64,60.67,0.47,0.35,16.09,61
23/03/2025 18:21,1382.36,60.69,0.63,0.48,16.07,60
23/03/2025 18:22,1378.58,60.65,0.72,0.55,16.04,59
23/03/2025 18:23,1372.62,60.62,0.95,0.72,16.04,58
23/03/2025 18:24,1367.64,60.64,1.05,0.8,16.06,57
23/03/2025 18:25,1362.32,60.61,0.49,0.38,16.02,56
23/03/2025 18:26,1363.72,60.65,0.76,0.58,16.03,56
23/03/2025 18:27,1363.72,60.65,0.66,0.51,16.03,55
23/03/2025 18:28,1360.71,60.6,0.76,0.59,16.02,54
23/03/2025 18:29,1354.68,60.65,0.5,0.39,16.03,54
23/03/2025 18:30,1347.9,60.63,0.42,0.33,16,53
23/03/2025 18:31,1345.82,60.58,0.47,0.37,16.02,53
23/03/2025 18:32,1343.95,60.6,0.44,0.35,15.99,53
23/03/2025 18:33,1341.33,60.59,0.55,0.44,15.97,52
23/03/2025 18:34,1341.09,60.59,0.35,0.28,15.97,52
23/03/2025 18:35,1342.29,60.6,0.37,0.3,15.96,52
23/03/2025 18:36,1343.61,60.6,0.57,0.45,15.97,52
23/03/2025 18:37,1342.61,60.56,0.62,0.51,15.96,52
