ts,co2,humidity,pm10,pm25,temperature,voc
21/03/2025 15:00,1062.18,56.91,17.75,17.66,18.34,89
21/03/2025 15:01,1063.88,56.38,17.51,17.42,18.37,85
21/03/2025 15:02,1056.98,56.61,17.3,17.1,18.36,81
21/03/2025 15:03,1059.5,56.6,19.62,19.62,18.34,78
21/03/2025 15:04,1073.96,57.11,18.27,18.11,18.34,75
21/03/2025 15:05,1091.25,57.28,18.99,18.98,18.34,72
21/03/2025 15:06,1101.87,56.56,18.15,18.12,18.36,69
21/03/2025 15:07,1092.59,56.64,18.52,18.29,18.34,67
21/03/2025 15:08,1095.43,56.92,17.68,17.49,18.32,65
21/03/2025 15:09,1106.52,57.23,17.7,17.69,18.32,63
21/03/2025 15:10,1114.18,57.19,18.37,18.35,18.32,61
21/03/2025 15:11,1119.65,57.49,16.85,16.85,18.33,59
21/03/2025 15:12,1122.02,56.81,16.23,16.23,18.33,58
21/03/2025 15:13,1126.3,57.44,16.09,16.09,18.32,57
21/03/2025 15:14,1133.4,57.08,16.92,16.92,18.3,56
21/03/2025 15:15,1134.85,57.58,17.63,17.62,18.27,55
21/03/2025 15:16,1137.94,57.51,17.26,17.26,18.3,54
21/03/2025 15:17,1139.03,57.97,17.56,17.53,18.29,54
21/03/2025 15:18,1143.87,57.8,17.46,17.38,18.27,54
21/03/2025 15:19,1148.15,57.96,16.16,16.16,18.3,53
21/03/2025 15:20,1156.39,58.19,16.52,16.4,18.3,53
21/03/2025 15:21,1155.57,58.26,16.52,16.52,18.29,53
21/03/2025 15:22,1161.04,58.19,16.54,16.4,18.3,53
21/03/2025 15:23,1163.16,58.25,16.36,16.25,18.29,53
21/03/2025 15:24,1164.12,58.3,18.11,18.11,18.3,53
21/03/2025 15:25,1165.62,58.2,15.98,15.86,18.32,53
21/03/2025 15:26,1167.66,57.65,16.19,16.13,18.37,53
21/03/2025 15:27,1168.2,57.8,16.04,16.04,18.34,53
21/03/2025 15:28,1173.1,58.09,16.52,16.45,18.32,53
21/03/2025 15:29,1183.63,58.39,15.94,15.94,18.32,53
21/03/2025 15:30,1193.39,58.14,16.35,16.29,18.33,53
21/03/2025 15:31,1217.05,59.11,16.75,16.74,18.34,53
21/03/2025 15:32,1222.07,58.69,17.41,17.41,18.32,68
21/03/2025 15:33,1221.13,58.94,17.67,17.58,18.32,67
21/03/2025 15:34,1219.71,58.56,17.62,17.57,18.29,66
