ts,co2,humidity,pm10,pm25,temperature,voc
12/03/2025 18:00,5464.51,68.4,3.22,2.83,15.18,109
12/03/2025 18:01,1757.18,60.97,3.83,3.34,15.22,113
12/03/2025 18:02,1621.46,60.39,3.75,3.25,15.25,115
12/03/2025 18:03,1410.25,60.34,3.44,3.02,15.25,117
12/03/2025 18:04,1638.26,61.03,3.68,3.19,14.94,119
12/03/2025 18:05,1658.86,60.6,4.38,3.7,15.08,121
12/03/2025 18:06,1742.3,60.65,5.1,4.05,15.08,123
12/03/2025 18:07,1753.14,60.62,4.89,3.79,15.08,124
12/03/2025 18:08,1735.92,60.34,4.95,3.81,15.12,123
12/03/2025 18:09,1615.79,60.29,5.44,4.16,15.07,122
12/03/2025 18:10,1604.59,60.39,4.31,3.39,15.05,120
12/03/2025 18:11,1503.21,59.82,4.32,3.39,15.05,116
12/03/2025 18:12,1454.07,59.6,3.67,2.9,15.05,112
12/03/2025 18:13,1416.11,59.6,4.27,3.36,15.03,108
12/03/2025 18:14,1414.58,59.67,4.57,3.59,14.98,105
12/03/2025 18:15,1424.27,59.63,5.1,4.08,15,101
12/03/2025 18:16,1424.89,59.6,3.42,2.74,14.95,98
12/03/2025 18:17,1411.21,59.38,3.45,2.75,14.95,95
12/03/2025 18:18,1415.75,59.65,4.26,3.41,14.95,93
12/03/2025 18:19,1426.29,59.66,3.65,2.88,14.95,90
12/03/2025 18:20,1429.54,59.8,3.82,3.05,14.95,87
12/03/2025 18:21,1441.01,59.86,3.74,2.91,15,84
12/03/2025 18:22,1443.51,60.02,3.76,2.93,14.97,82
12/03/2025 18:23,1441.26,60.18,3.6,2.84,14.97,79
12/03/2025 18:24,1456.38,60.44,3.44,2.74,14.95,77
12/03/2025 18:25,1472.98,60.42,3.65,2.89,14.97,76
12/03/2025 18:26,1594.12,60.7,3.95,3.07,14.95,74
12/03/2025 18:27,1589.4,60.78,5.07,3.87,14.97,73
12/03/2025 18:28,1590.4,60.95,4.45,3.44,14.94,72
12/03/2025 18:29,1588.04,60.96,4.43,3.43,14.93,72
12/03/2025 18:30,1585.94,61.04,4.04,3.07,14.94,71
12/03/2025 18:31,1585.51,60.98,4.37,3.3,14.95,70
12/03/2025 18:32,1590.52,61.03,437.66,400.91,14.97,70
12/03/2025 18:33,1605.33,61.17,1210.47,1154.41,14.95,70
12/03/2025 18:34,1674.1,61.41,659.99,627.04,14.94,70
12/03/2025 18:35,1678,61.45,564.63,538.82,14.94,70
12/03/2025 18:36,1698.94,61.74,586.58,571.58,14.95,71
12/03/2025 18:37,1712.85,61.78,558.67,545.28,14.95,71
12/03/2025 18:38,1722.81,61.86,1232.28,1196.1,14.97,72
12/03/2025 18:39,1731.48,62.01,921.09,894.61,14.95,73
12/03/2025 18:40,1774.72,62.11,657.23,640.16,14.98,73
12/03/2025 18:41,1778.23,62.07,532.06,518.74,14.97,74
12/03/2025 18:42,1774.54,61.95,443.71,434.51,14.97,75
12/03/2025 18:43,1760.83,61.76,330.74,324.33,14.97,75
12/03/2025 18:44,1746.21,61.59,258.29,253.32,14.97,75
12/03/2025 18:45,1734.8,61.6,251.61,245.81,14.97,76
12/03/2025 18:46,1752.79,61.76,211.62,207.79,14.94,77
12/03/2025 18:47,1812.92,61.92,192.82,187.18,14.97,78
12/03/2025 18:48,1816.89,62.04,167.94,163.65,14.95,79
12/03/2025 18:49,1834.55,62.14,297.06,291.3,14.95,80
12/03/2025 18:50,1877.94,62.41,581.95,564.4,14.98,81
12/03/2025 18:51,1923.82,62.51,355.07,347.88,14.97,84
12/03/2025 18:52,2008.08,62.93,660.6,643.95,14.97,82
12/03/2025 18:53,2031.55,63.07,799.22,774.57,14.97,86
12/03/2025 18:54,2044.51,63.22,500.99,492.02,14.98,90
12/03/2025 18:55,2062.13,63.36,556.88,550.66,14.98,93
12/03/2025 18:56,2076.2,63.42,496.78,493.2,14.97,95
12/03/2025 18:57,2087.51,63.41,333.2,325.68,14.98,97
12/03/2025 18:58,2099.69,63.53,342.63,338.9,15,99
12/03/2025 18:59,2122.15,63.78,265.21,262.06,15.03,101
12/03/2025 19:00,2175.43,64.01,789.4,763.1,15,104
12/03/2025 19:01,2223.49,64.09,455.32,443.09,15.01,108
12/03/2025 19:02,2229.63,64.16,398.77,391.85,15.04,111
12/03/2025 19:03,2241.39,64.21,314.37,305.29,15.01,114
12/03/2025 19:04,2254.37,64.51,327.18,321.51,15.01,117
12/03/2025 19:05,2293.29,64.69,273.96,266.06,15.04,119
12/03/2025 19:06,2343.4,64.9,235.97,230.43,15.07,121
12/03/2025 19:07,2365.51,64.99,187.74,182.7,15.07,124
12/03/2025 19:08,2380.7,65.1,162.64,159.57,15.09,127
12/03/2025 19:09,2392.42,65.15,126.13,123.79,15.08,129
12/03/2025 19:10,2405.99,65.22,106.65,104.74,15.09,131
12/03/2025 19:11,2428.46,65.34,91.18,89.91,15.11,132
12/03/2025 19:12,2454.53,65.38,67.28,66.33,15.11,134
12/03/2025 19:13,2480.12,65.54,45.28,44.54,15.11,135
12/03/2025 19:14,2489.5,65.43,30.16,29.82,15.12,136
12/03/2025 19:15,2491.93,65.64,21.26,20.98,15.11,138
12/03/2025 19:16,2506.11,65.66,15.92,15.62,15.11,139
12/03/2025 19:17,2527.16,65.79,11.5,11.21,15.12,141
12/03/2025 19:18,2541.52,65.88,8.08,7.63,15.12,142
12/03/2025 19:19,2595.62,65.85,5.84,5.34,15.12,143
12/03/2025 19:20,2600.23,65.9,4.27,3.73,15.12,143
12/03/2025 19:21,2610.42,66.02,4.3,3.63,15.12,144
12/03/2025 19:22,2614.58,65.94,53.74,53.74,15.12,145
12/03/2025 19:23,2605.62,66.13,13.37,13.37,15.14,147
12/03/2025 19:24,2603.6,66.11,22.34,22.34,15.14,142
12/03/2025 19:25,2592.41,66.09,21.26,21.26,15.16,145
12/03/2025 19:26,2570.88,65.97,12.17,12.17,15.16,148
12/03/2025 19:27,2552.78,66.03,9.55,9.47,15.14,150
12/03/2025 19:28,2521.55,66.01,6.66,6.59,15.15,152
12/03/2025 19:29,2509.21,65.97,5.37,5.24,15.15,154
12/03/2025 19:30,2488.78,66.25,14.19,14.19,15.18,157
12/03/2025 19:31,2486.45,66.2,7.32,7.32,15.16,158
12/03/2025 19:32,2496.96,66.18,5.14,5.14,15.22,160
12/03/2025 19:33,2502.62,66.1,4.25,4.15,15.19,163
12/03/2025 19:34,2465.81,66.11,4.77,4.64,15.18,178
12/03/2025 19:35,2430.19,65.97,4.27,4.08,15.19,179
12/03/2025 19:36,2378.24,65.82,4.73,4.46,15.18,177
12/03/2025 19:37,2309.71,65.77,4.7,4.39,15.19,177
12/03/2025 19:38,2289.57,65.71,4.95,4.53,15.19,176
12/03/2025 19:39,2252.42,65.69,4.71,4.26,15.21,174
12/03/2025 19:40,2247.56,65.66,4.35,3.92,15.19,172
12/03/2025 19:41,2250.9,65.66,4.07,3.69,15.19,171
12/03/2025 19:42,2251.67,65.56,4.63,4.22,15.15,169
12/03/2025 19:43,2251.24,65.47,4.58,4.19,15.18,168
12/03/2025 19:44,2269.79,65.42,4.71,4.3,15.19,184
12/03/2025 19:45,2284.13,65.36,4.79,4.4,15.15,199
12/03/2025 19:46,2288.95,65.31,4.68,4.29,15.16,213
12/03/2025 19:47,2278.57,64.79,4.48,4.06,15.19,226
12/03/2025 19:48,2039.94,64.04,546.07,537.07,15.18,239
12/03/2025 19:49,2135.17,64.01,512.57,511.63,15.19,246
12/03/2025 19:50,2043.58,63.39,958.72,952.05,15.18,250
12/03/2025 19:51,2132.89,63.43,477.38,472.67,15.21,253
12/03/2025 19:52,2172.45,63.52,332.73,330.58,15.19,255
12/03/2025 19:53,2177.92,63.58,292.89,292.71,15.18,254
12/03/2025 19:54,2159.89,63.32,248.54,247.62,15.18,253
12/03/2025 19:55,1997.42,62.71,180.12,178.15,15.15,249
12/03/2025 19:56,1967.94,61.94,121.3,121.14,15.21,240
12/03/2025 19:57,1936.35,61.35,181,179.76,15.16,232
12/03/2025 19:58,1791.97,61.02,116.54,116.34,15.21,223
12/03/2025 19:59,1780.04,60.54,460.07,453.16,15.21,213
12/03/2025 20:00,1783.01,60.06,258.26,254.43,15.21,203
12/03/2025 20:01,1791.82,60.02,731.86,702.66,15.18,204
12/03/2025 20:02,1830.73,60.26,1253.67,1191.82,15.21,197
12/03/2025 20:03,1883.13,60.66,1163.08,1091.49,15.21,190
12/03/2025 20:04,1961.84,61.05,751.74,728.79,15.21,184
12/03/2025 20:05,1988.85,61.27,1389.59,1357.61,15.24,187
12/03/2025 20:06,2134.36,61.73,1913.47,1855.13,15.24,201
12/03/2025 20:07,2180.09,62.17,1652.9,1594.45,15.26,214
12/03/2025 20:08,2187.17,62.23,1252.23,1219.77,15.26,227
12/03/2025 20:09,2173.84,61.68,1026.36,999.29,15.25,234
12/03/2025 20:10,2094.55,61.33,784.19,766.31,15.26,237
12/03/2025 20:11,1968.3,61.09,629.19,613.89,15.26,239
12/03/2025 20:12,1962.19,60.23,876.13,853.1,15.28,232
12/03/2025 20:13,1909,59.86,606.79,592.94,15.29,226
12/03/2025 20:14,1920,59.91,1060.81,1029.62,15.32,219
