"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","Ljung_Box_p","AIC","BIC","Theils_U","Forecast_Bias","ExecutionTime"
5,"Yes",60,1,0.17386951671625,0.823633007242429,0.243592685214509,0.855405744384789,25.434565948508,106.555192607318,-9.19850667075708,0.256454398323883,0,NA,NA,23.7190950455407,94.8189865461225,41.4111728668213
5,"Yes",120,2,0.181430073556198,0.838333181943782,0.266439828503454,0.887028800668817,26.5288748556604,109.777171855116,-35.8460351083961,-2.93446269822216,0,NA,NA,31.307079367235,95.3571330506716,41.4111728668213
5,"Yes",180,3,0.219020012212767,0.955203042188911,0.351701882642874,0.99278580887024,40.8768042625134,111.319814053554,-100.364715664056,-6.52923582546264,0,NA,NA,199.210070103791,106.692776233487,41.4111728668213
5,"No",60,1,0.173285230985976,0.804539142151088,0.236070660614708,0.82443088653223,24.1417913835809,100.034017759621,-8.47328858041691,0.54837474161903,0,NA,NA,22.8602095374064,92.6208462077807,49.5944800376892
5,"No",120,2,0.221681980853481,0.864701166423075,0.308933653672209,0.908614485219827,46.956987218873,113.056680368524,-37.66113784502,-2.64667976653696,0,NA,NA,32.0689314501944,98.3563885476807,49.5944800376892
5,"No",180,3,0.197929165809226,1.01106025101321,0.41803589151127,1.10654233061994,42.2713087605928,120.73038971049,-124.924939290775,-19.7941902167481,0,NA,NA,222.036186744509,112.931827428782,49.5944800376892
15,"Yes",60,1,0.197567041613609,0.926578588997199,0.242597506780255,0.943637478500927,48.3017962673169,118.245069551462,-29.5339961484959,-0.0939962252809377,0,NA,NA,12.3117341862349,106.135869287094,30.4928660392761
15,"Yes",120,2,0.189914961653677,0.889152451728884,0.277193017725101,0.939729376044623,45.5885620525505,108.099763262449,-67.5312708876094,-6.17829396521227,0,NA,NA,40.1261726563599,100.334528813121,30.4928660392761
15,"Yes",180,3,0.607330483505991,1.01933182586186,0.750554830389687,1.02452311638736,84.4244666394967,115.30582272605,-124.734199142573,-0.270970001676186,0,NA,NA,119.0557675947,113.383050300482,30.4928660392761
15,"No",60,1,0.17605182893659,0.879016292652758,0.249880172169266,0.903644784081908,22.6267361376617,115.931033869779,-27.0006927338043,-0.505496937472475,1.88826732028247e-12,NA,NA,11.7899454333544,100.687798580786,28.0937340259552
15,"No",120,2,0.387960342494711,0.914204223986133,0.460929115841193,0.926961827938794,58.7129267898723,107.838670831126,-65.6817332934264,-0.822826164767232,0,NA,NA,39.5810020436786,103.161443095905,28.0937340259552
15,"No",180,3,0.647462880748762,0.924979621043584,0.780675292382248,0.931423333197102,86.9564823948444,105.297841474381,-102.921192773116,-0.432907906111816,0,NA,NA,108.237011069516,102.887998038352,28.0937340259552
30,"Yes",60,1,0.330714475061589,0.970408436150673,0.418563486823929,0.998199751582226,39.6727502255633,116.180279443757,-78.1455314527328,-3.34570133385084,1.40175933416309e-07,NA,NA,33.4129495725341,109.77845751223,39.123703956604
30,"Yes",120,2,0.479962873418154,1.02012059599575,0.581834935058611,1.03332254759816,82.0786580245488,117.062713204666,-127.789565366515,-2.26986395821817,2.44718926345477e-07,NA,NA,62.1242043313814,113.75551057879,39.123703956604
30,"Yes",180,3,0.64798282544536,0.787092974890211,0.784785482982327,0.809673750362598,80.6739995054775,89.4734242915297,-101.290719456702,-4.62595741069273,6.49649889439274e-10,NA,NA,52.7484602854447,86.9132623604165,39.123703956604
30,"No",60,1,0.339551418304283,0.966524324908626,0.403569933121853,0.977722559960917,56.4628411717266,113.962635494376,-74.931636006302,-0.729388137687111,7.62154905732393e-05,NA,NA,32.7275122440381,109.339063412722,31.5655500888824
30,"No",120,2,0.528771524120496,0.981612641645211,0.665949029563914,1.00182596679056,65.7632053250109,113.195300530174,-120.057983066254,-3.83576725593299,5.18807442784208e-07,NA,NA,60.2306039000549,109.461418266876,31.5655500888824
30,"No",180,3,0.76163623928568,0.887396258351615,0.930731658284935,0.895310836829228,85.3870024715352,99.9879392677567,-124.073066051219,-1.20152639409628,1.22124532708767e-15,NA,NA,58.3275277214623,97.989063910174,31.5655500888824
