"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","Ljung_Box_p","AIC","BIC","Theils_U","Forecast_Bias","ExecutionTime"
1,"Yes",60,1,29.0625916130373,35.2050504991674,40.8894017446798,83.4035154319123,155.97290479793,107.644919203187,0.974669544582289,-0.0459658889306787,0,16831.3270786553,16901.5430850927,7.8910048348045,-86.1275746365421,1.38001990318298
1,"Yes",90,1.5,33.096736965096,52.1546694405124,43.8800920873028,104.923444712559,38.3846158709047,237.997659785861,0.97056547163748,-0.159458149713784,0,17065.273893494,17135.4898999314,9.80005574607614,-76.4611225013047,1.38001990318298
1,"Yes",120,2,33.6198633621146,74.5900762103964,44.8173032432173,127.564349202425,26.7054964880579,566.610498322228,0.968887016187908,-0.372762996229742,0,17148.2193373921,17218.4353438294,11.7639916735611,-61.2190437797166,1.38001990318298
1,"No",60,1,34.7848426795598,35.8423139213869,44.4560175304492,84.1415785595106,77.4357416680669,91.9621738638501,0.969984418009109,-0.158571505042354,0,17105.3107536356,17164.7242975441,7.96083474159091,-60.9780021989493,1.43977308273315
1,"No",90,1.5,42.5667782271852,52.4003333217287,51.8718866943571,105.304403162483,30.3366585678392,120.713425095472,0.958129156875798,-0.256489835217968,0,17638.5399783178,17697.9535222264,9.83563801328464,-52.0661468696957,1.43977308273315
1,"No",120,2,46.7161702721169,79.9381596269434,58.5044070279269,126.670895747035,28.445743392327,264.93509139621,0.945071172630487,-0.430386748611672,0,18075.2799647596,18134.6935086681,11.6815973441451,-36.5906659078031,1.43977308273315
5,"Yes",60,1,27.8996300771059,34.5981483037545,39.697450140865,83.1123007102759,123.130641271384,98.1318118198544,0.976076039145574,-0.033889622072796,0,3361.54747088203,3410.8169531037,3.52641785188049,-87.9531929101044,1.08582305908203
5,"Yes",90,1.5,32.1639970441944,51.1923495514174,42.8521886466154,104.297906202242,34.7502456199488,220.00643365278,0.97189808077076,-0.141176299925148,0,3411.72567325193,3460.99515547359,4.36711509403442,-78.2587343163885,1.08582305908203
5,"Yes",120,2,32.0761862436404,73.3287483161292,42.5363515989753,126.521100531787,24.5778698931535,534.735430762551,0.971887951562302,-0.348438934405494,0,3410.23866202308,3459.50814424474,5.22898119833193,-62.6632956648736,1.08582305908203
5,"No",60,1,33.1124811099105,36.0496277007847,42.684352849605,83.8921559039943,63.9745067765762,94.2152768446693,0.972292449781065,-0.145503742158071,0,3405.5590641352,3447.24862601507,3.55950675994233,-64.3915524513449,1.10683917999268
5,"No",90,1.5,40.6789109618848,51.1682874083647,49.6507022581704,104.74669041536,27.7958135685959,112.982508071449,0.961630267344867,-0.237539008369983,0,3509.56363075645,3551.25319263632,4.38590638508173,-55.4897508318718,1.10683917999268
5,"No",120,2,43.887389924685,78.4590745431784,53.8621851272126,125.768666211016,25.9990222715701,259.681369227395,0.953423398908885,-0.408319828989083,0,3571.34097446499,3613.03053634486,5.1978838959867,-39.387612340172,1.10683917999268
15,"Yes",60,1,26.3394104018739,34.4217959828338,37.2620646288792,83.0701790354474,73.3329338169422,96.766765602422,0.978881223933335,-0.0343081305109179,3.21634438305018e-06,1124.04731919764,1159.03484166662,2.02274109228596,-87.574042859527,1.14806985855103
15,"Yes",90,1.5,30.7885909543193,50.7620920560273,40.5587996837789,104.027567195774,30.3239041047402,210.411808655683,0.974790070538797,-0.132007357714381,7.07101044383762e-13,1142.52870306308,1177.51622553206,2.49976332899148,-78.8027952119957,1.14806985855103
15,"Yes",120,2,30.5520336038848,73.1841089541511,39.8905071747691,125.770711077192,22.6908922912832,506.36624109589,0.975493810578756,-0.328679225947445,0,1138.90676711571,1173.89428958469,2.98311785318693,-63.2260153130201,1.14806985855103
15,"No",60,1,31.020546282744,35.943776006736,40.0093671649231,83.7403067444279,49.1119599657946,94.6132218307928,0.975645947382522,-0.132746731643122,1.46253655119999e-06,1135.58371723818,1165.1885439427,2.03905855867129,-66.943006688465,1.19987797737122
15,"No",90,1.5,37.6614651137369,50.1667356990738,45.7099995229076,104.412079555442,24.0195737421665,106.425392783304,0.967520615539144,-0.217349252661806,2.25042207091519e-13,1166.14577371262,1195.75060041714,2.50900309035622,-59.1623733458352,1.19987797737122
15,"No",120,2,39.790959697857,76.6581851161453,47.7311964439703,124.966919855613,22.9204719077289,251.459467394027,0.963878827020654,-0.380483851335798,0,1177.19369724765,1206.79852395217,2.96405296977495,-42.859934466997,1.19987797737122
