"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","Ljung_Box_p","AIC","BIC","Theils_U","Forecast_Bias","ExecutionTime"
1,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.90080189704895
1,"Yes",90,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.90080189704895
1,"Yes",120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.90080189704895
1,"No",60,1,0.00424801746466738,0.225710582106986,0.0141977839701516,0.754895985146897,0.0136489629618084,0.0250503600318857,0.99981047378531,0.999827417120366,0,-6618.70799065867,-6578.18991843634,0.0257287428244431,0.0292621768258815,1.77728295326233
1,"No",90,1.5,0.00424801746466738,0.379432983105885,0.0141977839701516,0.892719924111497,0.0136489629618084,0.0448816204206174,0.999688776646065,0.999744910750339,0,-6618.70799065867,-6578.18991843634,0.0363865218374408,0.048209733969189,1.77728295326233
1,"No",120,2,0.00424801746466738,0.433552603725413,0.0141977839701516,0.947425325554723,0.0136489629618084,0.0536870244902934,0.999655718942999,0.999727192751882,0,-6618.70799065867,-6578.18991843634,0.0424070664815979,0.0556871016183461,1.77728295326233
5,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.758555173873901
5,"Yes",90,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.758555173873901
5,"Yes",120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.758555173873901
5,"No",60,1,0.00309571464858484,0.228338394114,0.00857912869774923,0.603111864599646,0.013945120104394,0.0255334936370618,0.999871020207167,0.999889507946769,1.30124487032202e-05,-1544.31236910838,-1516.66980018552,0.0111440060345706,0.0296028586800356,0.51739501953125
5,"No",90,1.5,0.00309571464858484,0.381768845923539,0.00857912869774923,0.701984588924737,0.013945120104394,0.0452279782469127,0.999796513199866,0.999856697339558,1.30124487032202e-05,-1544.31236910838,-1516.66980018552,0.0156187672156013,0.048544796314237,0.51739501953125
5,"No",120,2,0.00309571464858484,0.435834979294791,0.00857912869774923,0.685335233027188,0.013945120104394,0.0542669101262228,0.999810324430471,0.999887033982022,1.30124487032202e-05,-1544.31236910838,-1516.66980018552,0.0169141612700722,0.0562231026579183,0.51739501953125
15,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54187798500061
15,"Yes",90,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54187798500061
15,"Yes",120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54187798500061
15,"No",60,1,0.00444475006733624,0.224780545462721,0.00957053051938918,0.448216033018548,0.0156441460388992,0.0269268368831265,0.999852823004966,0.99988970029426,0.847845087415544,-483.88647719003,-462.676097749824,0.0106106944554571,0.0290871805318494,0.319518089294434
15,"No",90,1.5,0.00444475006733624,0.378364022513362,0.00957053051938918,0.552590063500075,0.0156441460388992,0.0460889413264871,0.999786426333578,0.999886407580861,0.847845087415544,-483.88647719003,-462.676097749824,0.0151976370265469,0.0480762619646338,0.319518089294434
15,"No",120,2,0.00444475006733624,0.431313211332551,0.00957053051938918,0.562341565050576,0.0156441460388992,0.0544632119019809,0.999807937916625,0.999920814538771,0.847845087415544,-483.88647719003,-462.676097749824,0.0144213842032993,0.0556127146708704,0.319518089294434
