"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","Ljung_Box_p","AIC","BIC","Theils_U","Forecast_Bias","ExecutionTime"
1,"Yes",30,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4741959571838
1,"Yes",45,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4741959571838
1,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4741959571838
1,"No",30,0.5,0.704684752717009,0.394742877342648,1.25157858188879,0.405320517583786,122.721281836552,114.729085687289,-53.0893917019674,-1.78630152689496,0,NA,NA,35.3973832310958,115.184211548735,37.052855014801
1,"No",45,0.75,0.245245520019682,2.04411162638113,0.552346560458818,3.48326028946052,45.1190452589096,514.761454007106,-3853.65424887359,-2567.8131963548,0,NA,NA,312.011900757931,589.135021730238,37.052855014801
1,"No",60,1,0.435437231207861,0.61636769688802,0.821504759587099,0.884595763704044,76.67543668638,161.426357423512,-242.010931608554,-124.028908375494,0,NA,NA,83.198553595108,179.682155580836,37.052855014801
5,"Yes",30,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4122760295868
5,"Yes",45,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4122760295868
5,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4122760295868
5,"No",30,0.5,0.687695012391629,0.51023181508195,1.03706605780338,0.561386107912525,185.826897690835,150.230454741385,-99.6336272535478,-16.5041835181157,0.0103784662545225,NA,NA,23.7938059455774,144.850540363803,34.8194360733032
5,"No",45,0.75,0.295829963321141,0.812113555260412,0.629270633869768,1.32544168397055,40.7638602825993,199.798593134411,-525.76652749514,-328.01017627694,8.35034025259418e-08,NA,NA,89.0665298615196,230.622870902709,34.8194360733032
5,"No",60,1,0.673105270848906,0.435155348551802,1.25447579021292,0.441832989819742,112.983601665102,122.30898996942,-64.0455721611804,-0.951274467024246,0.000426383841103606,NA,NA,31.9065591303606,122.026960444495,34.8194360733032
15,"Yes",30,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7898168563843
15,"Yes",45,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7898168563843
15,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7898168563843
15,"No",30,0.5,0.304892125764413,0.874151849817718,0.379643580069388,0.961499111497806,162.999273772153,227.008384093883,-257.092726832554,-43.7628152011884,0.206565902279287,NA,NA,31.8341855213062,236.400902468488,42.7529129981995
15,"No",45,0.75,0.203169064574809,0.323119707929212,0.355376950450709,0.389980758215041,107.643492344984,80.9330702968955,-41.4584709791437,-18.6268452357878,0.053991016039977,NA,NA,12.911837003591,77.3377747398029,42.7529129981995
15,"No",60,1,0.0522168438932799,0.188056422514579,0.0570898468638334,0.19735612229982,91.8796351254187,47.5719638221818,-18.5099253208816,-0.795350203920973,0.273635246844241,NA,NA,8.80137494497133,48.7235005254597,42.7529129981995
