"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","Ljung_Box_p","AIC","BIC","Theils_U","Forecast_Bias","ExecutionTime"
1,"Yes",30,0.5,60.0498305404273,290.393425258285,93.7649265259434,368.902657029929,125.571193031883,813.330039023817,0.552080914589432,-90.0802286045809,0,3053.90605139329,3099.73693960201,63.1725735181831,673.250613082687,1.23106002807617
1,"Yes",45,0.75,59.3045017439906,57.1708779736271,103.696321575839,82.0536169447827,83.426507329717,189.76946404245,0.519840011213722,-4.10620939703748,0,3069.98631001771,3115.81719822642,13.4676899354267,97.8560873733006,1.23106002807617
1,"Yes",60,1,55.5485175652397,51.3866969812214,105.352721696516,62.9049368735909,71.8446951994303,77.3120542323687,0.497843272949827,-0.635701461958376,0,3080.53560059511,3126.36648880382,10.5263929075784,-88.1759050869296,1.23106002807617
1,"No",30,0.5,66.353583619045,108.752958128715,102.828182235301,130.439950453905,134.436334118922,296.093774384095,0.478920687731946,-13.5399863623709,0,3085.87975550826,3121.13428489958,22.3371320393849,214.520857723283,1.23369693756104
1,"No",45,0.75,64.2968850322955,233.026385676489,106.38789415212,266.049442411271,95.8900357568162,545.313652502239,0.479650575908022,-18.5391814506865,0,3084.1619904584,3119.41651984972,43.6674400386196,462.984934873642,1.23369693756104
1,"No",60,1,63.7660204270265,56.7328133771319,110.715705306558,60.1087955118174,93.3623471545315,122.605750993846,0.447153599297401,0.54180758237629,0,3098.67375109564,3133.92828048696,10.0584919118536,99.0856611040545,1.23369693756104
5,"Yes",30,0.5,48.6794096084241,412.816509474395,65.9922580619155,532.209781299175,106.064424168429,1141.70625654378,0.733832101956156,-201.525656984813,3.05807601463925e-11,599.694971561545,624.551270632111,40.7569234071894,953.325530955936,1.19648313522339
5,"Yes",45,0.75,56.0969264122039,60.0037674832366,94.6323758886933,86.1608094241328,82.0370262566079,201.264640471547,0.569101100519554,-4.63233947244052,0.00729321258399451,623.484426689088,648.340725759654,6.28402237497987,103.570682099281,1.19648313522339
5,"Yes",60,1,51.7683651230486,50.8333553885003,96.8472292067328,62.5150222169854,69.109631660065,76.2842451337842,0.547251724250956,-0.851799086772331,5.0294068909551e-10,625.950375335037,650.806674405603,4.64416262374156,-84.4184596773411,1.19648313522339
5,"No",30,0.5,56.3545871012826,85.6249783509697,76.3404388515559,107.180802241567,118.798836024977,229.596885666802,0.670619703489977,-10.9275777503313,1.82416857075207e-06,604.349256278401,623.469486332683,8.20796592091387,156.141222465165,1.09169483184814
5,"No",45,0.75,60.8598631386321,243.566769746574,98.2230353385082,280.305770027337,91.252157873183,564.684294378947,0.523178117021619,-21.9410579023126,7.08973857399542e-09,622.547902668589,641.66813272287,20.443723108692,485.626080457422,1.09169483184814
5,"No",60,1,60.7272011531705,61.3419850680636,102.834697693763,64.8314780479769,90.1671317611218,131.737901396239,0.490277772429274,0.488252617465405,6.31165037234815e-07,625.876857192966,644.997087247247,4.81624922322318,107.628160320271,1.09169483184814
15,"Yes",30,0.5,17.4238905724013,3265.82115086824,20.4316377690713,3751.72158893671,43.7562446458764,9387.10636895075,0.974971582779395,-6188.38215559653,0.0741241149008098,170.069706152456,180.113359541573,166.544266031465,7824.93868238728,1.4426691532135
15,"Yes",45,0.75,39.7919933308476,48.6591071428571,58.0250977859025,56.2231842997451,67.8455729215176,100,0.791906074537451,0,0.112441851330171,203.82238164667,213.866035035787,2.3801961375672,-100,1.4426691532135
15,"Yes",60,1,39.1834741555883,54.7201666666667,72.0473153360118,61.9641780839946,38.3726067919281,100,0.729051782764045,0,0.0814204416932928,208.29127114801,218.334924537127,2.67362982840231,-100,1.4426691532135
15,"No",30,0.5,35.3801376091491,28.1610005358966,42.6580464976257,30.2020841696926,75.2588750900264,76.1187904285239,0.89903988689814,0.0801633047747285,0.332680223196769,186.385124566944,194.111011789342,1.34071354214947,-48.2433722742538,1.60047316551208
15,"No",45,0.75,60.5530043807597,221.4217963839,86.490843858074,266.819114021045,80.4633403544961,508.41442425903,0.600422613406604,-26.9387030764919,0.0713958098446303,208.261068247727,215.986955470125,11.2957284887344,455.046977606541,1.60047316551208
15,"No",60,1,55.5108029991434,111.989410670451,87.3581900940557,115.888529200009,78.1505239946109,250.278149935312,0.590028139322636,-0.0511797940677441,0.107488376604876,208.917843988608,216.643731211006,5.00035727124166,204.658387377812,1.60047316551208
