"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","Ljung_Box_p","AIC","BIC","Theils_U","Forecast_Bias","ExecutionTime"
1,"Yes",30,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199398994445801
1,"Yes",45,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199398994445801
1,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199398994445801
1,"No",30,0.5,2.67310272869436,4.17854559291093,4.49375147619677,4.33763763866962,4.09022566429659,102.147606972633,-0.501585851197759,0.386875424196835,0.174531541172457,1658.5713978428,1684.02783712301,2.10762295573439,-27.1550312546254,1.64698505401611
1,"No",45,0.75,2.67310272869436,4.28951923564915,4.49375147619677,4.44426625552958,4.09022566429659,117.648336601867,-0.502111647290926,0.262588264936462,0.174531541172457,1658.5713978428,1684.02783712301,2.42093648876508,-34.6800789367918,1.64698505401611
1,"No",60,1,2.75183400183728,5.00618679546477,4.56919488354697,5.23898368843927,3.93236963681233,142.27260764358,-0.33640592620362,0.333110786894174,0.196519725579841,1607.28443838105,1632.48521664341,2.60207528833987,-34.2273617569683,1.64698505401611
5,"Yes",30,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0328600406646729
5,"Yes",45,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0328600406646729
5,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0328600406646729
5,"No",30,0.5,2.85105981393767,1.51552710636402,4.42535034266654,1.57702348621557,4.03390785315008,29.5056479180851,0.0518529538845085,0.651812349826612,0.306466953509,342.280069629167,354.184598696361,1.99740182604824,-7.11258500627372,1.17601013183594
5,"No",45,0.75,2.95602637626637,1.73409399088166,4.57929756511068,1.8019711624351,3.80173168874841,39.3518683470822,0.0829330226962672,0.790642513017354,0.216875764112638,334.411328778966,345.486812390641,2.36740497527571,-9.76271573857233,1.17601013183594
5,"No",60,1,3.0798302631007,2.15916631529293,4.79555636646682,2.24681497346333,3.3539794357807,54.8430280513115,-0.0696313068426367,0.863355081616608,0.0493550304240414,327.376776123834,337.21871525633,3.22566891401348,-15.8221544446305,1.17601013183594
15,"Yes",30,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0289759635925293
15,"Yes",45,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0289759635925293
15,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0289759635925293
15,"No",30,0.5,2.50844996034821,3.39271375890644,3.42811943410111,3.72457216250845,4.56626177505847,67.7870980661338,-0.714999650013614,0.338556407075836,0.433336283528732,106.22754503571,110.648200546952,1.46805395108142,42.9338367233528,1.38639283180237
15,"No",45,0.75,2.54836484935485,4.1333696431728,3.46299808827546,4.43968546365314,4.24009709795625,97.2839711281969,-0.667783121387287,0.301247431881623,0.425176950464206,103.986920891643,108.273916956655,1.71223151083425,60.0212956998518,1.38639283180237
15,"No",60,1,2.58573892862769,4.95579361167485,3.49682241030326,5.24566838824918,3.82625709570091,129.873759118196,-0.601602420557724,0.350164292403623,0.415354701385333,101.701120670216,105.849783674677,2.03873401615219,79.2284940969694,1.38639283180237
