"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","Ljung_Box_p","AIC","BIC","Theils_U","Forecast_Bias","ExecutionTime"
1,"Yes",30,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7398030757904
1,"Yes",45,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7398030757904
1,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7398030757904
1,"No",30,0.5,0.855235694426771,0.744522909436224,1.07565709651481,0.779790826151287,117.679789515303,129.079847894438,-2.43552353742218,0.123253802030751,0,NA,NA,4.49799719475381,99.0126067766543,35.913635969162
1,"No",45,0.75,0.878600511815519,0.674500230956435,1.10298250498969,0.707385393809181,124.489489796991,134.000491760865,-5.02519895737017,0.276087746430568,0,NA,NA,4.89352699610066,98.2268409523955,35.913635969162
1,"No",60,1,0.901771210750583,0.708068810630143,1.13111707698353,0.723779270054138,117.358153094368,102.017610404011,-9.43948129920026,0.00267828532619263,0,NA,NA,5.32806208981636,98.3844416406492,35.913635969162
5,"Yes",30,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7039141654968
5,"Yes",45,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7039141654968
5,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7039141654968
5,"No",30,0.5,0.9064494200316,0.676208064075564,1.14013298272866,0.710604481302488,97.6935181077248,95.4736924676788,-3.34848438071941,0.253040450796977,0.00932112007000963,NA,NA,2.90748171197728,94.6783532121772,25.5870959758759
5,"No",45,0.75,0.94599176525315,0.73641540000343,1.17768071008478,0.758455956387697,95.3110983122557,102.146878655822,-13.9946485559419,0.0040066547745321,0.296404164770034,NA,NA,3.50968993669436,103.190401161673,25.5870959758759
5,"No",60,1,0.99219892070242,0.748924950197151,1.20960461069687,0.765802755210827,98.3633147931734,101.592542917268,-15.8041204555649,0.0417055843646621,0.816523630830229,NA,NA,3.48251424037541,102.542858067455,25.5870959758759
15,"Yes",30,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0900371074677
15,"Yes",45,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0900371074677
15,"Yes",60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0900371074677
15,"No",30,0.5,1.01285486799677,0.749587243750436,1.17644017607973,0.766186385070411,99.9571652035068,106.826592932583,-17.1581119264995,0.221745218998929,0.993413700349627,NA,NA,3.79410696430494,103.742023675557,23.7543971538544
15,"No",45,0.75,1.0690510808212,0.710670506472677,1.24066529180496,0.736641941943503,103.041761254003,96.8596383104232,-15.7847436575632,-0.162679672660552,0.963315906791306,NA,NA,3.64780473340063,98.3559914108604,23.7543971538544
15,"No",60,1,1.02162668633419,0.779218778215886,1.24252542788983,0.780689622949848,98.0042347343411,98.5496575988203,-37758.2758067289,-141.14538688581,0.0777124879612665,NA,NA,216.177792118313,98.5736591828069,23.7543971538544
