"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","Ljung_Box_p","AIC","BIC","Theils_U","Forecast_Bias","ExecutionTime"
1,"Yes",30,0.5,316.447228367579,837.059927378519,411.754550089291,936.01839463035,1787.07601508269,30010.3541552594,0.389906113206591,-4.39847393211235,0,3767.83078693234,3813.66167514105,24.0542604995347,735.591060846457,1.06403803825378
1,"Yes",45,0.75,269.109804372823,185.820802905672,383.605563708503,307.503759904464,913.807046684274,4958.78051035777,0.492294126351955,-0.583619366329456,0,3729.51199494762,3775.34288315634,8.02917600762686,110.546396796061,1.06403803825378
1,"Yes",60,1,219.15085540949,258.515779717293,308.846449741233,369.729498347943,814.598912814773,109.264739073026,0.678110656612778,-0.81055196981713,0,3624.906338114,3670.73722632272,9.64510439037097,115.793299417997,1.06403803825378
1,"No",30,0.5,366.915055983293,413.38250877872,464.325680450192,445.770629723919,1807.34596368866,12257.4005257352,0.240925754925032,0.140739334944729,0,3816.67095719386,3851.92548658518,11.4556326156981,363.164341889976,1.12473106384277
1,"No",45,0.75,317.461278727065,271.276049038895,411.013624082035,374.721785174675,1574.5433582046,3277.01401831271,0.400796328846064,-0.777864931941235,0,3765.10251119686,3800.35704058818,9.78429391560727,161.442140843919,1.12473106384277
1,"No",60,1,251.298536773338,159.55002939508,335.570514905424,233.979819529752,1356.30855085759,84.5438383807233,0.601693862820051,-0.179270027921583,0,3672.37261770504,3707.62714709636,6.10381317879278,-41.7046193136634,1.12473106384277
5,"Yes",30,0.5,251.167786245828,1696.79608346363,346.441849429073,1766.94033325133,1187.31615484762,53239.4153846741,0.496721780700711,-6.51841054475408,0.0360470142981174,753.496312036841,778.352611107407,20.0357236852455,1504.33340781839,1.01834297180176
5,"Yes",45,0.75,213.162872669085,171.223003383174,308.322178699386,256.702259591497,450.269984796437,376.199269129204,0.617422398000586,-0.0687636539844667,1.68721514537395e-08,742.715247295367,767.571546365933,2.95752365074624,-95.9252458540367,1.01834297180176
5,"Yes",60,1,166.518775407228,193.393361670016,232.049563813027,266.834834705958,527.411476503952,93.4952260766226,0.792675029883266,0.139274576587574,9.78714354005206e-09,714.464086003697,739.320385074263,3.07142336168251,-88.1327859736614,1.01834297180176
5,"No",30,0.5,331.286607019152,397.442999475119,409.914478196616,440.929654589775,1293.98723579918,11572.3634347275,0.303767316266916,-0.136116149326149,8.35450581360142e-05,763.723351192201,782.843581246482,4.9997979885011,352.076389878777,1.04173803329468
5,"No",45,0.75,265.186571987467,254.289244961411,343.809439021737,355.980505971807,910.426989901936,2856.59829363613,0.508423754319476,-0.656503706203397,3.08521346692459e-07,749.249524413823,768.369754468105,4.10133034002755,152.582306325597,1.04173803329468
5,"No",60,1,193.371319798634,162.945311636006,252.904135894142,238.706656795306,820.816674051659,85.8895319984757,0.738425531675656,-0.161266077257925,8.66610172560733e-05,720.085663527275,739.205893581556,2.74765175648134,-48.6127101834276,1.04173803329468
15,"Yes",30,0.5,125.524152783745,103.737727272727,152.763661705442,203.190043700434,258.683755358232,100,0.883896475257926,0,0.225835125571769,233.104028488681,243.147681877798,1.33035103235836,-100,1.01395297050476
15,"Yes",45,0.75,67.8518916194716,151.646178571429,83.321492212826,244.936354377189,211.252364139311,100,0.960734700917511,0,0.0943310948475651,217.06928588622,227.112939275337,1.62942040393336,-100,1.01395297050476
15,"Yes",60,1,68.6489216402124,201.388816666667,79.2796747482489,283.083007381582,176.051941814595,100,0.969910255484837,0,0.07355719708609,213.843612481998,223.887265871115,1.88144979907416,-100,1.01395297050476
15,"No",30,0.5,251.998158252943,2323.59118690161,331.655296842088,2519.16416215329,801.593205447597,62823.6327288274,0.478583123992604,-30.1772468577346,0.406712417894205,251.137110407342,258.862997629739,16.4937837640401,2238.92414196504,1.11735796928406
15,"No",45,0.75,209.701855274809,1747.72470181447,245.420931348719,2044.4591827722,592.951081715854,29979.5844802727,0.712882667343785,-29.4975441309934,0.0989085451153363,242.90208273385,250.627969956247,13.6006086801143,1151.92541278469,1.11735796928406
15,"No",60,1,121.924578566913,153.511272955399,148.061123058439,226.745035284434,653.737698432563,88.0405493857807,0.886020841266818,-0.0907450687628208,0.577129327143203,229.15291190015,236.878799122548,1.50701168898462,-45.0830316949776,1.11735796928406
